domain_label,dimension_norm,confidence_norm,count
fintech,code_intentionality,high,41
fintech,code_intentionality,low,1
fintech,code_intentionality,,55
fintech,core_feature_presence,high,33
fintech,core_feature_presence,low,1
fintech,core_feature_presence,medium,8
fintech,core_feature_presence,,55
fintech,domain_depth,high,89
fintech,domain_depth,medium,8
fintech,implementation_authenticity,high,39
fintech,implementation_authenticity,low,1
fintech,implementation_authenticity,medium,2
fintech,implementation_authenticity,,55
fintech,problem_specificity,high,96
fintech,problem_specificity,medium,1
fintech,solution_problem_fit,high,96
fintech,solution_problem_fit,medium,1
fintech,stack_alignment,high,32
fintech,stack_alignment,medium,10
fintech,stack_alignment,,55
fintech,technical_clarity,high,83
fintech,technical_clarity,medium,14
healthcare,code_intentionality,high,89
healthcare,code_intentionality,low,5
healthcare,code_intentionality,medium,11
healthcare,code_intentionality,,154
healthcare,core_feature_presence,high,81
healthcare,core_feature_presence,low,2
healthcare,core_feature_presence,medium,22
healthcare,core_feature_presence,,154
healthcare,domain_depth,high,249
healthcare,domain_depth,low,1
healthcare,domain_depth,medium,9
healthcare,implementation_authenticity,high,92
healthcare,implementation_authenticity,low,2
healthcare,implementation_authenticity,medium,11
healthcare,implementation_authenticity,,154
healthcare,problem_specificity,high,257
healthcare,problem_specificity,medium,2
healthcare,solution_problem_fit,high,258
healthcare,solution_problem_fit,medium,1
healthcare,stack_alignment,high,67
healthcare,stack_alignment,low,3
healthcare,stack_alignment,medium,35
healthcare,stack_alignment,,154
healthcare,technical_clarity,high,224
healthcare,technical_clarity,medium,35
logistics,code_intentionality,high,68
logistics,code_intentionality,low,2
logistics,code_intentionality,medium,5
logistics,code_intentionality,,68
logistics,core_feature_presence,high,55
logistics,core_feature_presence,low,3
logistics,core_feature_presence,medium,17
logistics,core_feature_presence,,68
logistics,domain_depth,high,127
logistics,domain_depth,medium,13
logistics,domain_depth,,3
logistics,implementation_authenticity,high,62
logistics,implementation_authenticity,low,4
logistics,implementation_authenticity,medium,9
logistics,implementation_authenticity,,68
logistics,problem_specificity,high,138
logistics,problem_specificity,medium,2
logistics,problem_specificity,,3
logistics,solution_problem_fit,high,140
logistics,solution_problem_fit,,3
logistics,stack_alignment,high,51
logistics,stack_alignment,low,2
logistics,stack_alignment,medium,22
logistics,stack_alignment,,68
logistics,technical_clarity,high,121
logistics,technical_clarity,medium,19
logistics,technical_clarity,,3
